Country,PD_INDEX,INV_INDEX,M_INDEX,UA_INDEX,LTO_INDEX,IND_INDEX
Albania,90,20,80,70,61,15
Algeria,80,35,35,70,26,32
Angola,83,18,20,60,15,83
Argentina,49,46,56,86,20,62
Armenia,85,22,50,88,61,25
Australia,38,90,61,51,21,71
Austria,11,55,79,70,60,63
Azerbaijan,85,22,50,88,61,22
Bangladesh,80,20,55,60,47,20
Belarus,95,25,20,95,81,15
Belgium,65,75,54,94,82,57
Bhutan,94,52,32,28,NA,NA
Bolivia,78,10,42,87,25,46
Bosnia and Herzegovina,90,22,48,87,70,44
Brazil,69,38,49,76,44,59
Bulgaria,70,30,40,85,69,16
Burkina Faso,70,15,50,55,27,18
Canada,39,80,52,48,36,68
Capo Verde,75,20,15,40,12,83
Chile,63,23,28,86,31,68
China,80,20,66,30,87,24
Colombia,67,13,64,80,13,83
Costa-Rica,35,15,21,86,NA,NA
Croatia,73,33,40,80,58,33
Czech Republic,57,58,57,74,70,29
Denmark,18,74,16,23,35,70
Ecuador,78,8,63,67,NA,NA
Egypt,70,25,45,80,7,4
El Salvador,66,19,40,94,20,89
Estonia,40,60,30,60,82,16
Ethiopia,70,20,65,55,NA,46
Fiji,78,14,46,48,NA,NA
Finland,33,63,26,59,38,57
France,68,71,43,86,63,48
Georgia,65,41,55,85,38,32
Germany,35,67,66,65,83,40
Ghana,80,15,40,65,4,72
Greece,60,35,57,100,45,50
Guatemala,95,6,37,98,NA,NA
Honduras,80,20,40,50,NA,NA
Hong-Kong,68,25,57,29,61,17
Hungary,46,80,88,82,58,31
Iceland,30,60,10,50,28,67
India,77,48,56,40,51,26
Indonesia,78,14,46,48,62,38
Iran,58,41,43,59,14,40
Iraq,95,30,70,85,25,17
Ireland,28,70,68,35,24,65
Israel,13,54,47,81,38,NA
Italy,50,76,70,75,61,30
Jamaica,45,39,68,13,NA,NA
Japan,54,46,95,92,88,42
Jordan,70,30,45,65,16,43
Kazakhstan,88,20,50,88,85,22
Kenya,70,25,60,50,NA,NA
Kuwait,90,25,40,80,NA,NA
Latvia,44,70,9,63,69,13
Lebanon,75,40,65,50,14,25
Libya,80,38,52,68,23,34
Lithuania,42,60,19,65,82,16
Luxembourg,40,60,50,70,64,56
Malawi,70,30,40,50,NA,NA
Malaysia,100,26,50,36,41,57
Malta,56,59,47,96,47,66
Mexico,81,30,69,82,24,97
Moldova,90,27,39,95,71,19
Montenegro,88,24,48,90,75,20
Morocco,70,46,53,68,14,25
Mozambique,85,15,38,44,11,80
Namibia,65,30,40,45,35,NA
Nepal,65,30,40,40,NA,NA
New Zealand,22,79,58,49,33,75
Nigeria,80,30,60,55,13,84
TFYR Macedonia,90,22,45,87,62,35
Norway,31,69,8,50,35,55
Pakistan,55,14,50,70,50,0
Panama,95,11,44,86,NA,NA
Paraguay,70,12,40,85,20,56
Peru,64,16,42,87,25,46
Poland,68,60,64,93,38,29
Portugal,63,27,31,99,28,33
Puerto-Rico,68,27,56,38,0,90
Qatar,93,25,55,80,NA,NA
Romania,90,30,42,90,52,20
Russia,93,39,36,95,81,20 
Saudi Arabia,95,25,60,80,36,52
Senegal,70,25,45,55,25,NA
Serbia,86,25,43,92,52,28
Sierra-Leone,70,20,40,50,NA,NA
Singapore,74,20,48,8,72,46
Slovakia,100,52,100,51,77,28
Slovenia,71,27,19,88,49,48
South Africa,49,65,63,49,34,63
South Korea,60,18,39,85,100,29
Spain,57,51,42,86,48,44
Sri Lanka,80,35,10,45,45,NA
Suriname,85,47,37,92,NA,NA
Sweden,31,71,5,29,53,78
Switzerland,34,68,70,58,74,66
Syria,80,35,52,60,30,NA
Taiwan,58,17,45,69,93,49
Tanzania,70,25,40,50,34,38
Thailand,64,20,34,64,32,45
Dominican Republic,65,30,65,45,13,54
Netherlands,38,80,14,53,67,68
Philippines,94,32,64,44,27,42
United Kingdom,35,89,66,35,51,69
United Arab Emirates,90,25,50,80,NA,NA
United States of America,40,91,62,46,26,68
Trinidad-and-Tobago,47,16,58,55,13,80
Tunisia,70,40,40,75,NA,NA
Turkey,66,37,45,85,46,49
Ukraine,92,25,27,95,86,14
Uruguay,61,36,38,98,26,53
Venezuela,81,12,73,76,16,100
Vietnam,70,20,40,30,57,35
Zambia,60,35,40,50,30,42




